"Арт №";"Наименование позиции";"Цена, грн";Ед.
52198;"Комплект ящиков Atira, частичного выдвижения с стекл.надставками TopSide L=470мм H=144мм, антрацит";"2246,68 грн.";к-т
51961;"Комплект ящиков Atira, частичного выдвижения с метал.надставками TopSide L=350мм H=144мм, антрацит";"2184,24 грн.";к-т
51801;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=176мм, белый Hettich (2 релинга)";"1652,32 грн.";к-т
51820;"Комплект для ящиков Atira, полного выдвижения L=520мм H=176мм, серебристый Hettich (2 релинга)";"2063,33 грн.";к-т
52253;"Комплект ящиков Atira, частичного выдвижения с метал.надставками TopSide L=520мм H=144мм, белый";"2314,88 грн.";к-т
52158;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide L=420мм H=144мм, серебро";"2506,13 грн.";к-т
53503;"Комплект для ящиков Atira, полного выдвижения Р2О L=420мм H=70мм, белый Hettich";"1670,39 грн.";к-т
51797;"Комплект для ящиков Atira, полного выдвижения L=350мм H=176мм, антрацит Hettich (2 релинга)";"1916,5 грн.";к-т
52176;"Комплект для ящиков Atira, полного выдвижения Р2О L=420мм H=176мм, белый Hettich (2 релинга)";"2254,14 грн.";к-т
52263;"Комплект для ящиков Atira, полного выдвижения Р2О L=520мм H=144мм, белый Hettich";"2033,21 грн.";к-т
57134;"Продольный релинг для внутренних ящиков L= 350 мм, Atira, антрацит, правый (9194587) Hettich";"114,9 грн.";шт
57141;"Продольный релинг для внутренних ящиков L= 470 мм, Atira, белый, правый (9194581) Hettich";"122,46 грн.";шт
57142;"Продольный релинг для внутренних ящиков L= 470 мм, Atira, антрацит, левый (9194590 Hettich";"122,46 грн.";шт
66493;"Карго из ящиков Atira, частичного выдвижения L=470мм H=144/70мм, антрацит Hettich";"2073,21 грн.";к-т
66479;"Ящик с вырезом под мойку Atira, частичного выдвижения L=470мм H=70/70мм, серебро Hettich";"1735,83 грн.";к-т
61603;"Комплект боковин Atira L=470 мм H=54мм серебро (9195080) Hettich";"1246,26 грн.";шт
73710;"Комплект ящиков Atira, полного выдвижения с стекл.надст. TopSide P2O SS L=520мм H=144мм, антрацит";"3629,02 грн.";к-т
73215;"Комплект для ящиков Atira, полного выдвижения P2O Silent L=470мм H=144мм, белый Hettich";"2794,48 грн.";к-т
73643;"Комплект для внутренних ящиков Atira, полного выдвижения P2O Silent L=470мм H=144мм, белый Hettich";"5192,87 грн.";к-т
73814;"Комплект ящиков Atira, полного выдвижения с метал.надст. TopSide P2O SS L=350мм H=144мм, серебро";"3518,84 грн.";к-т
73681;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=520мм H=70мм, серебристый Hettich";"4152,14 грн.";к-т
73679;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=520мм H=70мм, белый Hettich";"4152,14 грн.";к-т
73187;"Комплект для ящиков Atira, полного выдвижения P2O Silent L=470мм H=70мм, белый Hettich";"2494,22 грн.";к-т
73760;"Комплект для ящиков Atira, полного выдвижения P2O SS L=350мм H=70мм, антрацит Hettich";"2420,75 грн.";к-т
73840;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=350мм H=144мм, белый Hettich";"5104,33 грн.";к-т
73786;"Комплект ящиков Atira, полного выдвижения с метал.надст. TopSide P2O SS L=420мм H=144мм, серебро";"3576,5 грн.";к-т
73685;"Комплект для ящиков Atira, полного выдвижения P2O SS  L=520мм H=70мм, белый Hettich";"2524,81 грн.";к-т
73765;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=350мм H=70мм, белый Hettich";"4048,08 грн.";к-т
73816;"Комплект ящиков Atira, полного выдвижения с стекл.надст. TopSide P2O SS L=350мм H=144мм, белый";"3489,01 грн.";к-т
73627;"Комплект для ящиков Atira, полного выдвижения P2O Silent L=470мм H=176мм,серебро (2 релинга)";"3090,52 грн.";к-т
73791;"Комплект ящиков Atira, полного выдвижения с метал.надст. TopSide P2O L=420мм H=144мм, белый";"2783,29 грн.";к-т
73648;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=470мм H=144мм, белый Hettich";"4397,18 грн.";к-т
73704;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide P2O L=520мм H=144мм, антрацит";"2860,71 грн.";к-т
73657;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide P2O L=470мм H=144мм, антрацит";"2792,18 грн.";к-т
73722;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O L=520мм H=144мм, серебро";"2969,02 грн.";к-т
73844;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=350мм H=144мм, серебристый Hettich";"4314,52 грн.";к-т
73636;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=470мм H=70мм, антрацит Hettich";"3325,87 грн.";к-т
73706;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide P2O L=520мм H=144мм, белый";"2860,71 грн.";к-т
66541;"Комплект для ящиков Atira, частичного выдвижения L=470мм H=177-500мм, антрацит Hettich";"1843,85 грн.";к-т
66550;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=177-500мм, серебристый Hettich";"1884,21 грн.";к-т
66578;"Комплект для ящиков Atira, полного выдвижения L=350мм H=177-500мм, белый Hettich";"2011,02 грн.";к-т
61604;"Комплект соединителей задней стенки H=54мм Atira серебро (9195088) Hettich";"202,2 грн.";шт
110074;"Продольный релинг L=620мм, Atira, серебро, правый (9194535) Hettich";"131,88 грн.";шт
110695;"Quadro V6+Silent System L=620 полного выдвиж. 10,5 Atira левая, 50 кг (9102875) Hettich";"552,66 грн.";шт
92720;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=450мм, серебро, левая (9257135) Hettich";"648,84 грн.";шт
92892;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=600мм, серебро, правая (9257142) Hettich";"688,56 грн.";шт
92961;"AvanTech YOU Боковина H=101, L=400мм, серебро, левая (9255014) Hettich";"359,4 грн.";шт
92970;"AvanTech YOU Боковина H=101, L=600мм, серебро, левая (9255022) Hettich";"388,14 грн.";шт
92978;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=400мм, белый, левая (9257147) Hettich";"637,5 грн.";шт
92986;"AvanTech YOU Боковина H=101, L=400мм, белая, левая (9255094) Hettich";"359,4 грн.";шт
92996;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=550мм, белый, правая (9257154) Hettich";"671,46 грн.";шт
93004;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=400мм, антрацит, левая (9257161) Hettich";"637,5 грн.";шт
93027;"AvanTech YOU Боковина H=101, L=650мм, белая, левая (9255104) Hettich";"401,22 грн.";шт
93048;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=550мм, антрацит, правая (9257168) Hettich";"671,46 грн.";шт
93060;"AvanTech YOU Боковина H=101, L=400мм, антрацит, правая (9255175) Hettich";"359,4 грн.";шт
93071;"AvanTech YOU Лицевая панель алюминий H=187мм L=2000мм, серебро (9257271) Hettich";"4097,7 грн.";шт
93086;"AvanTech YOU Боковина H=101, L=600мм, антрацит, правая (9255183) Hettich";"388,14 грн.";шт
93113;"AvanTech YOU Боковина H=187, L=350мм, серебро, правая (9255049) Hettich";"583,32 грн.";шт
93137;"AvanTech YOU Боковина H=187, L=550мм, серебро, правая (9255057) Hettich";"625,5 грн.";шт
93171;"AvanTech YOU Боковина H=187, L=270мм, белый, левая (9255124) Hettich";"566,46 грн.";шт
93200;"AvanTech YOU Боковина H=187, L=450мм, белый, левая (9255132) Hettich";"604,44 грн.";шт
93212;"AvanTech YOU Боковина H=187, L=550мм, белый, правая (9255137) Hettich";"625,5 грн.";шт
93226;"AvanTech YOU Боковина H=187, L=270мм, антрацит, левая (9255204) Hettich";"566,46 грн.";шт
93261;"Направляющая Actro YOU L=500мм (40 кг), правая (9256993) Hettich";"483,48 грн.";шт
93283;"Actro YOU Механизм Push to open Silent средний (9257892) Hettich";"1204,98 грн.";шт
93296;"AvanTech YOU Комплект стекол для боковин H=187мм L=550мм (9283182) Hettich";"1657,26 грн.";шт
93304;"AvanTech YOU Боковина H=187, L=550мм, антрацит, левая (9255216) Hettich";"625,5 грн.";шт
93320;"AvanTech YOU дизайн-профиль L=450мм, серебро (9255808) Hettich";"18,9 грн.";шт
93334;"AvanTech YOU дизайн-профиль L=400мм, белый (9255816) Hettich";"18,6 грн.";шт
93343;"AvanTech YOU Боковина H=187, L=600мм, антрацит, правая (9255219) Hettich";"641,4 грн.";шт
93353;"AvanTech YOU Боковина H=251, L=350мм, серебро, правая (9255067) Hettich";"918,3 грн.";шт
93361;"AvanTech YOU фиксатор фасада H=101 под прикручивание (9255835) Hettich";"51,24 грн.";шт
93370;"AvanTech YOU фиксатор фасада H=187 Inlay под прикручивание (9257257) Hettich";"102,48 грн.";шт
